MLA,326659539,FERRETERIA JASPER,MLA752196932,Jaula Trampa Rata Ratón Laucha 30x13x13cm Jasper Caballito,MLA417939,Trampas para Ratas,$960
MLA,326659539,FERRETERIA JASPER,MLA864990501,Masilla Epoxi Parsecs 1 Kilo Bolsa  Artesano Jasper,MLA105406,Pegamentos,$1250
MLA,326659539,FERRETERIA JASPER,MLA807178404,Cinta Doble Faz 3m Vhb Uso Interior 19 Mm X 5 Mts Jasper,MLA105436,Cintas Adhesivas,$920
MLA,326659539,FERRETERIA JASPER,MLA764926166,Juego Calisuar Para Picos De Gas X 10 U Jasper Caballito,MLA372115,Mechas,$1050
MLA,326659539,FERRETERIA JASPER,MLA872218019,Espatula Para Plancha Bifera Brogas Acero Inoxidable Jasper,MLA74534,Palas y Espátulas,$350
MLA,326659539,FERRETERIA JASPER,MLA745144476,Crema Adhesiva Epoxy Parsecs Gris 200 Grs Jasper Caballito,MLA105406,Pegamentos,$850
MLA,326659539,FERRETERIA JASPER,MLA856112827,Burlete Doble Bajo Puerta Gris Geko 95 Centimetros Jasper,MLA416677,Burletes,$995
MLA,326659539,FERRETERIA JASPER,MLA744353182,Juego Calisuar Para Picos De Gas X 7 U Jasper Caballito,MLA372120,Fresas,$750
MLA,326659539,FERRETERIA JASPER,MLA807275263,Soga Elastica Tensor Con Gancho X 3 Unid Jasper Caballito,MLA384755,Sogas,$180
MLA,326659539,FERRETERIA JASPER,MLA807179118,Cinta Doble Faz 3m Vhb Uso Exterior 19 Mm X 5 Mts Jasper,MLA105436,Cintas Adhesivas,$1870
MLA,326659539,FERRETERIA JASPER,MLA786531660,"Manguera Para Transvasar Liquidos O Combustible 1,8mt Jasper",MLA430455,Mangueras para Combustible,$400
MLA,326659539,FERRETERIA JASPER,MLA898035122,Cinta Montaje Doble Faz Scotch Mount 3m Exterior Jasper,MLA105436,Cintas Adhesivas,$670
MLA,326659539,FERRETERIA JASPER,MLA756085166,Roldana Fundicion Albañil Ø 12 Cm C Gancho Jasper Caballito,MLA384754,Poleas,$940
MLA,326659539,FERRETERIA JASPER,MLA782873940,Union Para Caño De Plomo Sin Soldar 1/2-1/2 Flotante Jasper,MLA431314,Acoples,$770
MLA,326659539,FERRETERIA JASPER,MLA884071199,Cinta Demarcatoria Autoadhesiva 48 Mm X 33 M Doble A Jasper,MLA352174,Cinta Antideslizante,$1050
